Município;State;Municipality; Gross Rol [%] ;Gross Rol [%];Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Almirante Tamandare - PR;parana;Almirante Tamandare;6.6;0.066;11-01 / 01-01;5;0;161;01-01 / 03-01;5;0;251.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1552.53;996.70
Altamira Do Parana - PR;parana;Altamira Do Parana;6.6;0.066;11-01 / 01-01;5;0;101;01-01 / 03-01;5;0;241.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2469.38;1037.10
Alto Paraiso - PR;parana;Alto Paraiso;6.6;0.066;11-01 / 01-01;5;0;87;01-01 / 03-01;5;0;182.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2886.60;1371.26
Alto Parana - PR;parana;Alto Parana;6.6;0.066;11-01 / 01-01;5;0;128;01-01 / 03-01;5;0;228.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1950.33;1094.71
Alto Piquiri - PR;parana;Alto Piquiri;6.6;0.066;11-01 / 01-01;5;0;92;01-01 / 03-01;5;0;186.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2722.78;1341.11
Altonia - PR;parana;Altonia;6.6;0.066;11-01 / 01-01;5;0;80;01-01 / 03-01;5;0;188.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;3139.34;1329.27
Alvorada Do Sul - PR;parana;Alvorada Do Sul;6.6;0.066;11-01 / 01-01;5;0;148;01-01 / 03-01;5;0;201.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1692.95;1245.65
Amapora - PR;parana;Amapora;6.6;0.066;11-01 / 01-01;5;0;109;01-01 / 03-01;5;0;203.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2287.81;1233.33
Ampere - PR;parana;Ampere;6.6;0.066;11-01 / 01-01;5;0;62;01-01 / 03-01;5;0;218.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;4059.44;1145.41
Anahy - PR;parana;Anahy;6.6;0.066;11-01 / 01-01;5;0;99;01-01 / 03-01;5;0;234.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2520.16;1068.21
Andira - PR;parana;Andira;6.6;0.066;11-01 / 01-01;5;0;125;01-01 / 03-01;5;0;245.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1998.72;1018.78
Angulo - PR;parana;Angulo;6.6;0.066;11-01 / 01-01;5;0;140;01-01 / 03-01;5;0;218.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1789.31;1144.99
Antonio Olinto - PR;parana;Antonio Olinto;6.6;0.066;11-01 / 01-01;5;0;165;01-01 / 03-01;5;0;209.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1514.04;1195.89
Apucarana - PR;parana;Apucarana;6.6;0.066;11-01 / 01-01;5;0;150;01-01 / 03-01;5;0;250.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1662.08;1000.82
Arapongas - PR;parana;Arapongas;6.6;0.066;11-01 / 01-01;5;0;152;01-01 / 03-01;5;0;253.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1647.44;988.55
Arapoti - PR;parana;Arapoti;6.6;0.066;11-01 / 01-01;5;0;145;01-01 / 03-01;5;0;267.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1726.96;936.18
Arapua - PR;parana;Arapua;6.6;0.066;11-01 / 01-01;5;0;104;01-01 / 03-01;5;0;239.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2403.37;1047.13
Araruna - PR;parana;Araruna;6.6;0.066;11-01 / 01-01;5;0;98;01-01 / 03-01;5;0;242.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2560.16;1034.20
Araucaria - PR;parana;Araucaria;6.6;0.066;11-01 / 01-01;5;0;148;01-01 / 03-01;5;0;234.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1691.53;1068.34
Ariranha Do Ivai - PR;parana;Ariranha Do Ivai;6.6;0.066;11-01 / 01-01;5;0;132;01-01 / 03-01;5;0;243.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1892.82;1029.74
Assai - PR;parana;Assai;6.6;0.066;11-01 / 01-01;5;0;144;01-01 / 03-01;5;0;221.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1736.49;1130.72
Assis Chateaubriand - PR;parana;Assis Chateaubriand;6.6;0.066;11-01 / 01-01;5;0;97;01-01 / 03-01;5;0;218.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2579.73;1147.54
Astorga - PR;parana;Astorga;6.6;0.066;11-01 / 01-01;5;0;154;01-01 / 03-01;5;0;230.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1621.99;1088.06
Atalaia - PR;parana;Atalaia;6.6;0.066;11-01 / 01-01;5;0;126;01-01 / 03-01;5;0;215.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;1984.79;1162.83
